"","LEAID","NCESSCH","w.pct.frlunch","w.pct.black","w.pct.hisp","w.pct.female","sch.pct.frlunch","sch.pct.black","sch.pct.hisp","sch.pct.female","dtrct_size"
"32",600027,"060002710588",68.8465461854152,4.16908346362412,61.751446818346,49.0601825471636,51.8518518518518,5.64814814814815,39.537037037037,49.6296296296296,1080
"33",600027,"060002712772",68.8465461854152,4.16908346362412,61.751446818346,49.0601825471636,88.9005235602094,3.03664921465969,71.3089005235602,47.3298429319372,955
"34",600028,"060002803647",29.0842314347833,3.28141596845304,33.6547084154573,48.9099341917167,21.6159496327387,1.99370409233998,26.7576075550892,49.4228751311647,953
"35",600028,"060002808272",29.0842314347833,3.28141596845304,33.6547084154573,48.9099341917167,36.5945437441204,3.38664158043274,38.4760112888053,51.0818438381938,1063
"36",600028,"060002809501",29.0842314347833,3.28141596845304,33.6547084154573,48.9099341917167,20.7993474714519,2.03915171288744,27.7324632952692,48.1239804241436,1226
"37",600028,"060002809505",29.0842314347833,3.28141596845304,33.6547084154573,48.9099341917167,43.9220183486239,3.44036697247706,43.6926605504587,47.4770642201835,872
"38",600028,"060002811040",29.0842314347833,3.28141596845304,33.6547084154573,48.9099341917167,27.5735294117647,5.07352941176471,35.1470588235294,48.4558823529412,1360
"39",600028,"060002811187",29.0842314347833,3.28141596845304,33.6547084154573,48.9099341917167,24,3.75510204081633,30.1224489795918,48.8979591836735,1225
"40",600029,"060002903649",37.2326236378359,5.43489551140415,36.7812402312556,49.7405557022531,28.9598108747045,3.66430260047281,33.7470449172577,48.5815602836879,1692
"41",600029,"060002909686",37.2326236378359,5.43489551140415,36.7812402312556,49.7405557022531,47.5087719298246,5.54385964912281,43.0175438596491,48.4912280701754,1425
"42",600029,"060002910590",37.2326236378359,5.43489551140415,36.7812402312556,49.7405557022531,44.6254071661238,6.18892508143322,38.4364820846906,50.1628664495114,921
"43",600029,"060002912243",37.2326236378359,5.43489551140415,36.7812402312556,49.7405557022531,27.8365045806906,6.34249471458774,31.9238900634249,51.7265680056378,1419
"44",600032,"060003204949",18.0649060959631,3.66763898421414,22.8863012416547,46.6382510763087,23.7911025145068,5.31914893617021,27.4661508704062,46.42166344294,1034
"45",600032,"060003204955",18.0649060959631,3.66763898421414,22.8863012416547,46.6382510763087,12.3387096774194,2.01612903225806,18.3064516129032,46.8548387096774,1240
